Dataset,Metric,Method,Mean,Std,F_Statistic,P_Value,Significance,Best_Method
adme-fang-hclint-1,MAE,Fixed Hyperparameters,0.3859,0.0148,1.7908,0.1934,ns,Optimized Hyperparameters
adme-fang-hclint-1,MAE,Optimized Hyperparameters,0.3819,0.0174,1.7908,0.1934,ns,Optimized Hyperparameters
adme-fang-hclint-1,MSE,Fixed Hyperparameters,0.2458,0.0167,1.4940,0.2335,ns,Optimized Hyperparameters
adme-fang-hclint-1,MSE,Optimized Hyperparameters,0.2421,0.0164,1.4940,0.2335,ns,Optimized Hyperparameters
adme-fang-hclint-1,R2,Fixed Hyperparameters,0.3696,0.0394,1.3701,0.2533,ns,Optimized Hyperparameters
adme-fang-hclint-1,R2,Optimized Hyperparameters,0.3786,0.0445,1.3701,0.2533,ns,Optimized Hyperparameters
adme-fang-hclint-1,RHO,Fixed Hyperparameters,0.6176,0.0278,1.5254,0.2288,ns,Optimized Hyperparameters
adme-fang-hclint-1,RHO,Optimized Hyperparameters,0.6252,0.0307,1.5254,0.2288,ns,Optimized Hyperparameters
